"date_garde" "heure" "commune" "nom_et_prenom_pharmacien" "adresse" "full_adress" "full_date" "lon" "lat"
"06-10-2019" "19:00-08:00" "SIDI M'HAMED" "LADJADJ FARIDA" "06.rue des biberes 1er mai SIDI M'HAMED" "06.rue des biberes 1er mai SIDI M'HAMED SIDI M'HAMED Algérie" "06-10-2019 19:00-08:00" 3.0538086 36.7595839
"07-10-2019" "19:00-08:00" "AIN BENIAN" "DJERABA LAMIA MOUFIDA" "CITE 278 LOGTS BT 10 N 01 AIN BENIAN" "CITE 278 LOGTS BT 10 N 01 AIN BENIAN AIN BENIAN Algérie" "07-10-2019 19:00-08:00" 2.9337917 36.7965083
"07-10-2019" "19:00-08:00" "AIN TAYA" "KERDOUCHI SAFIA" "si el haoues lot 31/A bis ain taya" "si el haoues lot 31/A bis ain taya AIN TAYA Algérie" "07-10-2019 19:00-08:00" 3.2835137 36.7852529
"07-10-2019" "19:00-08:00" "BAB EL OUED" "YADDADENE AHSSENE" "01 Avenu COLONEL LOUTFI BAB EL OUED" "01 Avenu COLONEL LOUTFI BAB EL OUED BAB EL OUED Algérie" "07-10-2019 19:00-08:00" 3.0559322 36.7911623
"07-10-2019" "19:00-08:00" "BIR MOURAD RAIS" "HAMZA REGUIG SOUMIA" "44CITE ZOUBIR LOT D N 06 GROUPEMENT D'HABITATION N? 56 LOCAL" "44CITE ZOUBIR LOT D N 06 GROUPEMENT D'HABITATION N? 56 LOCAL BIR MOURAD RAIS Algérie" "07-10-2019 19:00-08:00" 3.0503737 36.7353493
"07-10-2019" "19:00-08:00" "DOUERA" "RABEHI SAKHRIA" "36 RUE LAZZOUNI MOHAMED DOUERA" "36 RUE LAZZOUNI MOHAMED DOUERA DOUERA Algérie" "07-10-2019 19:00-08:00" 2.9438565 36.6724003
"07-10-2019" "19:00-08:00" "KOUBA" "YEDDOU AMINA" "CITE LOGTS VILLA N02 LOCAL A" "CITE LOGTS VILLA N02 LOCAL A KOUBA Algérie" "07-10-2019 19:00-08:00" 3.0814946 36.7266729
"07-10-2019" "19:00-08:00" "MOHAMMED BELOUIZDAD" "REBAHI HAMID" "152.RUE MOHAMED BELOUAZDAD MOHAMED BELOUIZDAD" "152.RUE MOHAMED BELOUAZDAD MOHAMED BELOUIZDAD MOHAMMED BELOUIZDAD Algérie" "07-10-2019 19:00-08:00" 3.0656505 36.7502577
"07-10-2019" "19:00-08:00" "SIDI M'HAMED" "RAHEM CHAFIK" "CITE MAHIEDDINE B T A N43 SIDI M'HAMED" "CITE MAHIEDDINE B T A N43 SIDI M'HAMED SIDI M'HAMED Algérie" "07-10-2019 19:00-08:00" 3.054659 36.7536737
"08-10-2019" "19:00-08:00" "AIN BENIAN" "YOUNES ABDELHAMID" "02 A RUE COLONEL SI AHMED" "02 A RUE COLONEL SI AHMED AIN BENIAN Algérie" "08-10-2019 19:00-08:00" 2.9337917 36.7965083
"08-10-2019" "19:00-08:00" "AIN TAYA" "FRIHA NADIA" "CITE CHAMOUNI ROUTE DECA PLAGE G/PROPRIETE 425 DIVISION 3" "CITE CHAMOUNI ROUTE DECA PLAGE G/PROPRIETE 425 DIVISION 3 AIN TAYA Algérie" "08-10-2019 19:00-08:00" 3.3228565 36.7830423
"08-10-2019" "19:00-08:00" "BAB EL OUED" "BOUCENNA YAHIA" "RUE MOHAND OUALI ICHAALALI (EX JEAN JAURES) BT N 20" "RUE MOHAND OUALI ICHAALALI (EX JEAN JAURES) BT N 20 BAB EL OUED Algérie" "08-10-2019 19:00-08:00" 3.0513601 36.7927594
"08-10-2019" "19:00-08:00" "BIR MOURAD RAIS" "STAMBOULI MOUNIA" "Rue n 1 local N 17 les vergers" "Rue n 1 local N 17 les vergers BIR MOURAD RAIS Algérie" "08-10-2019 19:00-08:00" 3.0488175 36.7348706
"08-10-2019" "19:00-08:00" "DOUERA" "AYADI LEILA" "COOP JOLIE VUE ROUTE DE RAHMANIA DOUERA" "COOP JOLIE VUE ROUTE DE RAHMANIA DOUERA DOUERA Algérie" "08-10-2019 19:00-08:00" 3.0789094 36.7220742
"08-10-2019" "19:00-08:00" "KOUBA" "ZIANI YASMINE" "12 AVENUE MOHAMED FELLAH" "12 AVENUE MOHAMED FELLAH KOUBA Algérie" "08-10-2019 19:00-08:00" 3.088082 36.731544
"08-10-2019" "19:00-08:00" "MOHAMMED BELOUIZDAD" "ALLOUANE FAIZA" "08 CHEMIN FERNANE HANAFI EL ANASSERS" "08 CHEMIN FERNANE HANAFI EL ANASSERS MOHAMMED BELOUIZDAD Algérie" "08-10-2019 19:00-08:00" 3.0948895 36.7369571
"09-10-2019" "19:00-08:00" "AIN BENIAN" "CHERIFI KHADIDJA" "02 ROUTE D'EL DJAMILA DEVISION F ASBRAZINOU AIN BENIAN" "02 ROUTE D'EL DJAMILA DEVISION F ASBRAZINOU AIN BENIAN AIN BENIAN Algérie" "09-10-2019 19:00-08:00" 2.9011675 36.8008595
"09-10-2019" "19:00-08:00" "AIN TAYA" "BOURAS HOURIA" "HAI EL HOUES N 07" "HAI EL HOUES N 07 AIN TAYA Algérie" "09-10-2019 19:00-08:00" 3.2835137 36.7852529
"09-10-2019" "19:00-08:00" "BAB EL OUED" "AIT BELKACEM FADELA" "23 RUE MOHAMED BOUBELLA" "23 RUE MOHAMED BOUBELLA BAB EL OUED Algérie" "09-10-2019 19:00-08:00" 3.0598942 36.7910208
"09-10-2019" "19:00-08:00" "BIR MOURAD RAIS" "LAZGHED ASSIA" "CITE LA CONCORDE BT 04 N°01" "CITE LA CONCORDE BT 04 N°01 BIR MOURAD RAIS Algérie" "09-10-2019 19:00-08:00" 3.0430707 36.7342519
"09-10-2019" "19:00-08:00" "KOUBA" "BAGHDADI AICHA NADIA" "HAI DJENAN BEN OMAR N 200 KOUBA" "HAI DJENAN BEN OMAR N 200 KOUBA KOUBA Algérie" "09-10-2019 19:00-08:00" 3.0955658 36.7350735
"09-10-2019" "19:00-08:00" "MOHAMMED BELOUIZDAD" "BEZZAZ FATIHA" "02 RUE MERZAK DIB (ex LAMARTINE) BELOUIZDAD" "02 RUE MERZAK DIB (ex LAMARTINE) BELOUIZDAD MOHAMMED BELOUIZDAD Algérie" "09-10-2019 19:00-08:00" 3.070142 36.7505682
"10-10-2019" "19:00-08:00" "AIN BENIAN" "KHERCHI BRAHIM" "RUE EL BACHIR IBRAHIMI ENCIENNEMENT LAVIGERIE BT N 03" "RUE EL BACHIR IBRAHIMI ENCIENNEMENT LAVIGERIE BT N 03 AIN BENIAN Algérie" "10-10-2019 19:00-08:00" 2.9337917 36.7965083
"10-10-2019" "19:00-08:00" "AIN TAYA" "TRABELSI MOHAMED TAHAR" "06 RUE CHAKIB ARBANE" "06 RUE CHAKIB ARBANE AIN TAYA Algérie" "10-10-2019 19:00-08:00" 3.2887167 36.7949233
"10-10-2019" "19:00-08:00" "BIR MOURAD RAIS" "CHEIKH RATIBA" "N38 RUE GUY DE MAUPASSANT LES SOURCES BIR MOURAD RAIS" "N38 RUE GUY DE MAUPASSANT LES SOURCES BIR MOURAD RAIS BIR MOURAD RAIS Algérie" "10-10-2019 19:00-08:00" 3.0626172 36.7346014
"10-10-2019" "19:00-08:00" "BORDJ EL BAHRI" "SALEM YAMINA" "24 RUE 1 NOVEMBRE BRISE MARINE" "24 RUE 1 NOVEMBRE BRISE MARINE BORDJ EL BAHRI Algérie" "10-10-2019 19:00-08:00" 3.2493192 36.7835623
